TC_ID/PC_ID,Pre-Conditions,Category,Type,Stage,Variant,Service_ID,Service_ID_Description,SubService_ID,Testcase_Description,Reference_Document_And_Version,Expected_Response_Data,DLC,Status_Mask,Communication_Type,controltype,Write_Data,Addressing,Format,Comments,UDS 14229 Section,ES95486,OEM specification
TC_ID-003,,Standard,Normal,,,0x10,Diagnostic Session Control (0x10),0x03,Start Extended session,,06 50 03 00 32 01 F4 AA,4 Bytes,,,,,Physical,Hex,,9.2,4.1.1,4.1.3
TC_ID-004,,Standard,Abnormal,,,0x10,Diagnostic Session Control (0x10),0xFF,Sub function not supported(10 FF),,03 7F 10 12 AA AA AA AA,-,,,,,Physical,Hex,,9.2,4.1.1,4.1.3
TC_ID-005,,Standard,Abnormal,,,0x10,Diagnostic Session Control (0x10),,Incorrect message length(No sub function)(10),,03 7F 10 13 AA AA AA AA,4 Bytes,,,,,Physical,Hex,,9.2,4.1.1,4.1.3
TC_ID-006,,Standard,Abnormal,,,0x10,Diagnostic Session Control (0x10),0x0101,Incorrect message length(10 01 01 ),,0x13,-,,,,,Physical,Hex,,9.2,4.1.1,4.1.3
TC_ID-007,,Standard,Normal,,,0x11,ECU Reset (0x11),0x01,Hard reset,,02 51 01 AA AA AA AA AA,-,,,,,Physical,Hex,,9.3,4.2.1,5.1.3
TC_ID-008,,Standard,Normal,,,0x11,ECU Reset (0x11),0x03,Soft reset,,02 51 03 AA AA AA AA AA,-,,,,,Physical,Hex,Unable to receive positive response in Canoe,9.3,4.2.1,5.1.3
TC_ID-009,,Standard,Abnormal,,,0x11,ECU Reset (0x11),0x08,Sub function not supported(out ofrange)(11 08),,03 7F 11 12 AA AA AA AA,-,,,,,Physical,Hex,,9.3,4.2.1,5.1.3
TC_ID-010,,Standard,Abnormal,,,0x11,ECU Reset (0x11),,Incorrect message length(No sub function)(11),,03 7F 11 13 AA AA AA AA,-,,,,,Physical,Hex,,9.3,4.2.1,5.1.3
TC_ID-011,,Standard,Abnormal,,,0x11,ECU Reset (0x11),-,Service not supported in Active session,,0x7F,-,,,,,Physical,Hex,"MKBD ECU Limitation:At present, MKBD supports in Default and Extended diagnostic sessions. NRC cannot be reproduced.",9.3,4.2.1,5.1.3
TC_ID-012,,Standard,Abnormal,,,0x11,ECU Reset (0x11),0x0101,Incorrect message length(11 01 01 ),,0x7F,-,,,,,Physical,Hex,,9.3,4.2.1,5.1.3
PC_ID-001,,Standard,Pre-Condition,,,0x10,Diagnostic Session Control (0x10),0x03,Start Extended session,,06 50 03 00 32 01 F4 AA,-,,,,,Physical,Hex,,9.2,4.1.1,4.1.3
TC_ID-013,PC_ID-001,Standard,Normal,,,0x28,Communication Control (0x28),0x00,Disable Rx and Tx(28 00 ),,02 68 00 AA AA AA AA AA,-,,0x01,,,Functional,Hex,Getting NRC in Canoe,9.5,4.4.1,5.1.4
TC_ID-014,PC_ID-001,Standard,Normal,,,0x28,Communication Control (0x28),0x01,EnableRxAndDisableTx Extended session(28 01),,02 68 01 AA AA AA AA AA,-,,0x01,,,Functional,Hex,,9.5,4.4.1,5.1.4
TC_ID-015,PC_ID-001,Standard,Normal,,,0x28,Communication Control (0x28),0x02,DisableRxAndEnableTx Extended session(28 02),,02 68 02 AA AA AA AA AA,-,,0x01,,,Functional,Hex,,9.5,4.4.1,5.1.4
TC_ID-016,PC_ID-001,Standard,Normal,,,0x28,Communication Control (0x28),0x03,DisableRxAndDisableTx Extended session(28 03),,02 68 03 AA AA AA AA AA,-,,0x01,,,Functional,Hex,,9.5,4.4.1,5.1.4
TC_ID-017,PC_ID-001,Standard,Abnormal,,,0x28,Communication Control (0x28),0x08,Subfunction not supported(28 08),,03 7F 28 12 AA AA AA AA,-,,0x01,,,Functional,Hex,Getting NRC in Canoe,9.5,4.4.1,5.1.4
