#Author: Pavan Kumar Andra
#Date: 2026-07-29 Time: 17:25
#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID, Expected_Response_Data, Write_Data, Addressing, Format, Status_Mask, Communication_Type, controltype
ECU_INFO-16 , S/W Version,0x22,0xF1DD,10 0B 62 F1 DD 30 31 2E 30 31 2E 30 31 AA AA,  ,Physical,ascii,  ,  ,  
ECU_INFO-17 , B-CAN Version,0x22,0xF100,06 62 F1 00 25 08 01 AA,  ,Physical,ascii,  ,  ,  
ECU_INFO-18 , Manufacturing Date,0x22,0xF18B,07 62 F1 8B 00 00 00 00,  ,Physical,hex,  ,  ,  
ECU_INFO-19 , ECU_Serial Number,0x22,0xF18C,10 23 62 F1 8C 30 30 30 30 30 30 30 30 33 31 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 AA AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
ECU_INFO-20 , H/W Version,0x22,0xF193,10 08 62 F1 93 30 31 2E 30 30 AA AA AA AA AA,  ,Physical,ascii,  ,  ,  
TC_ID-001 , Start default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-003 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-004 , Sub function not supported(10 FF),0x10,0xFF,03 7F 10 12 AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-005 , Incorrect message length(No sub function)(10),0x10,  ,03 7F 10 13 AA AA AA AA,  ,Physical,Hex,  ,  ,  
PC_ID-001 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-013 , PreCondition: PC_ID-001  Testcase:Disable Rx and Tx(28 00 ),0x28,0x00,02 68 00 AA AA AA AA AA,  ,Functional,Hex,  ,0x01,  
TC_ID-014 , PreCondition: PC_ID-001  Testcase:EnableRxAndDisableTx Extended session(28 01),0x28,0x01,02 68 01 AA AA AA AA AA,  ,Functional,Hex,  ,0x01,  
TC_ID-015 , PreCondition: PC_ID-001  Testcase:DisableRxAndEnableTx Extended session(28 02),0x28,0x02,02 68 02 AA AA AA AA AA,  ,Functional,Hex,  ,0x01,  
TC_ID-016 , PreCondition: PC_ID-001  Testcase:DisableRxAndDisableTx Extended session(28 03),0x28,0x03,02 68 03 AA AA AA AA AA,  ,Functional,Hex,  ,0x01,  
TC_ID-017 , PreCondition: PC_ID-001  Testcase:Subfunction not supported(28 08),0x28,0x08,03 7F 28 12 AA AA AA AA,  ,Functional,Hex,  ,0x01,  
TC_ID-019 , Incorrect message length,0x28,  ,03 7F 28 13 AA AA AA AA,  ,Functional,Hex,  ,  ,  
PC_ID-002 , Start Default session,0x10,0x01,06 50 01 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-022 , PreCondition: PC_ID-002  Testcase:DTC setting ON wrong Session(85 01),0x85,0x01,03 7F 85 7F AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-023 , PreCondition: PC_ID-002  Testcase:DTC setting OFF wrong Session(85 02),0x85,0x02,03 7F 85 7F AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-024 , PreCondition: PC_ID-002  Testcase:Service not supported in active session(Default)(85 01),0x85,0x01,03 7F 85 7F AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-025 , PreCondition: PC_ID-002  Testcase:Invalid sub function(85 FF),0x85,0xFF,03 7F 85 7F AA AA AA AA,  ,Physical,Hex,  ,  ,  
PC_ID-003 , Start Extended session,0x10,0x03,06 50 03 00 32 01 F4 AA,  ,Physical,Hex,  ,  ,  
TC_ID-028 , PreCondition: PC_ID-003  Testcase:DTC setting ON Pre-condition extended(85 01),0x85,0x01,02 C5 01 AA AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-029 , PreCondition: PC_ID-003  Testcase:DTC setting OFF Pre-condition extended(85 02),0x85,0x02,02 C5 02 AA AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-030 , PreCondition: PC_ID-003  Testcase:Sub function not supported(not valid sub function)(85 08),0x85,0x08,03 7F 85 12 AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-032 , PreCondition: PC_ID-003  Testcase:Invalid sub function(85 0A),0x85,0x0A,03 7F 85 12 AA AA AA AA,  ,Physical,Hex,  ,  ,  
TC_ID-033 , PreCondition: PC_ID-003  Testcase:Read DTC with Extended session(19 01),0x19,0x01,06 59 01 08 00 00 00 AA,  ,Physical,Hex,0x08,  ,  
TC_ID-034 , PreCondition: PC_ID-003  Testcase:Read DTC Extended session(19 02),0x19,0x02,03 59 02 08 AA AA AA AA,  ,Physical,Hex,0x08,  ,  
TC_ID-036 , PreCondition: PC_ID-003  Testcase:Subfunction not supported(No Mask)(19 0F)Subfunction not supported(19 0F 08 ),0x19,0x0F,03 7F 19 12 AA AA AA AA,  ,Physical,Hex,0x08,  ,  
