#Author: Akhila Varganti
#Date: 2026-07-14 Time: 12:31
#TC_ID/PC_ID , Testcase_Description , Service_ID , SubService_ID , Expected_Response_Data , Write_Data , Addressing , Format , Status_Mask , Communication_Type , controltype
ECU_INFO-6 , S_W_Version_Dataidentifier_F1_DD_Read(Defaultsession) , 0x22 , 0xF1DD , 10 10 62 F1 DD 41 30 30 30 30 00 00 00 00 00 00 00 00 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
ECU_INFO-7 , B_CAN_Database_Version_F1_00_Read(Defaultsession) , 0x22 , 0xF100 , 06 62 F1 00 31 2E  30 AA ,    , Physical , Hex ,    ,    ,   
ECU_INFO-8 , Manufacturing_F1_8B_Read(Defaultsession) , 0x22 , 0xF18B , 07 62 F1 8B 20 25 12 19 ,    , Physical , Hex ,    ,    ,   
ECU_INFO-9 , ECU_Serial_Number_F1_8C_Read(Defaultsession) , 0x22 , 0xF18C , 10 0B 62 F1 8C 30 30 30 30 30 30 30 31 AA AA ,    , Physical , Hex ,    ,    ,   
ECU_INFO-10 , HardwareVersionNumber_F1_93_Read(Defaultsession) , 0x22 , 0xF193 , 07 62 F1 93 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-224 , Read DTC with default session(19 02) , 0x19 , 0x02 , 03 59 02 08 AA AA AA AA ,    , Physical , Hex , 0x08 ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-225 , Fault memory clear Extended session(14 FFFFFF) , 0x14 , 0xFFFFFF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-226 , - Input Output Record Local Identifier #1(Default session) , 0x22 , 0xB302 , 10 09 62 B3 02 FF FF 00 00 00 94 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-227 , - Input Output Record Local Identifier #2(Default session) , 0x22 , 0xB303 , 10 0B 62 B3 03 FF FF FF 01 08 00 00 01 AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-228 , RX_SWIN_F1_EF_Read(Defaultsession) , 0x22 , 0xF1EF , 10 2B 62 F1 EF 07 A6 0B 52 31 30 20 4D 51 34 2F 31 2F 30 0C 52 31 35 35 20 4D 51 34 2F 31 2F 30 0C 52 31 35 36 20 4D 51 34 2F 31 2F 30 AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-230 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Defaultsession) , 0x22 , 0xF187 , 10 0D 62 F1 87 39 33 34 44 38 47 42 35 31 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-233 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Defaultsession) , 0x22 , 0xF191 , 07 62 F1 91 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-235 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Defaultsession) , 0x22 , 0xF1C1 , 03 62 F1 C1 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-236 , ECUSoftwareUnit2 IVDDataIdentifier_F1_C2_Read(Defaultsession) , 0x22 , 0xF1C2 , 03 62 F1 C2 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-237 , SystemSupplierECUSoftwareVersionNumbe_DataIdentifier_F1_95_Read(Defaultsession) , 0x22 , 0xF195 , 07 62 F1 95 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-238 , Software_Version_for_HKMC_Vehicle_Manufacture_F1_A0_Read(Defaultsession) , 0x22 , 0xF1A0 , 07 62 F1 A0 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-239 , ECU_Supplier_Code_F1_A1_Read(Defaultsession) , 0x22 , 0xF1A1 , 07 62 F1 A1 53 31 31 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-240 , ECU_Software_UNIT_number_F1_B0_Read(Defaultsession) , 0x22 , 0xF1B0 , 04 62 F1 B0 01 AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-241 , ECU_Software_UNIT1_Version_F1_B1_Read(Defaultsession) , 0x22 , 0xF1B1 , 07 62 F1 B1 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-029 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-243 , SystemNameOrEngineTypeDataIdentifier_Read(Defaultsession) , 0x22 , 0xF197 , 07 62 F1 97 4D 46 53 57 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-244 , Read DTC with Extended session(19 02) , 0x19 , 0x02 , 03 59 02 08 AA AA AA AA ,    , Physical , Hex , 0x08 ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-245 , Fault memory clear Extended session(14 FFFFFF) , 0x14 , 0xFFFFFF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-246 , - Input Output Record Local Identifier #1(Extended session) , 0x22 , 0xB302 , 10 09 62 B3 02 FF FF 00 00 00 94 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-247 , - Input Output Record Local Identifier #2(Extended session) , 0x22 , 0xB303 , 10 0B 62 B3 03 FF FF FF 01 08 00 00 01 AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-248 , RX_SWIN_F1_EF_Read(Extended session) , 0x22 , 0xF1EF , 10 2B 62 F1 EF 07 A6 0B 52 31 30 20 4D 51 34 2F 31 2F 30 0C 52 31 35 35 20 4D 51 34 2F 31 2F 30 0C 52 31 35 36 20 4D 51 34 2F 31 2F 30 AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-249 , B_CAN_Database_Version_F1_00_Read(Extendedsession) , 0x22 , 0xF100 , 06 62 F1 00 31 2E  30 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-250 , Vehicle_Manufacturer_Spare_Part_Number_F1_87_Read(Extendedsession) , 0x22 , 0xF187 , 10 0D 62 F1 87 39 33 34 44 38 47 42 35 31 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-251 , Manufacturing_F1_8B_Read(Extendedsession) , 0x22 , 0xF18B , 07 62 F1 8B 20 25 12 19 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-252 , ECU_Serial_Number_F1_8C_Read(Extendedsession) , 0x22 , 0xF18C , 10 0B 62 F1 8C 30 30 30 30 30 30 30 31 AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-253 , Vehicle_Manufacturer_ECU_HW_Number_F1_91_Read(Extendedsession) , 0x22 , 0xF191 , 07 62 F1 91 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-254 , HardwareVersionNumber_F1_93_Read(Extendedsession) , 0x22 , 0xF193 , 07 62 F1 93 41 2E 30 30 ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-255 , ECUSoftwareUnit1IVDDataIdentifier_F1_C1_Read(Extendedsession) , 0x22 , 0xF1C1 , 03 62 F1 C1 AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-030 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
