#TC_ID/PC_ID , Testcase_Description , Service_ID , SubService_ID , Expected_Response_Data , Write_Data , Addressing , Format , Status_Mask , Communication_Type , controltype
PC_ID-046 , Start Programming session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-644 , Dark current mode(10 D1) , 0x10 , 0xD1 , 02 50 D1 AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-069 , Start Default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 00 ,    , Physical , Hex ,    ,    ,   
PC_ID-028 , Start Programming  session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-223 , Softreset , 0x11 , 0x03 , 02 51 03 AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-028 , Start Programming  session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-222 , Conditions not correct(invalid range)(14 8000FF) , 0x14 , 0x8000FF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-028 , Start Programming  session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-221 , Fault memory clear Extended session(14 FFFFFF) , 0x14 , 0xFFFFFF , 01 54 AA AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-028 , Start Programming  session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-220 , Read DTC with Programming session(19 02) , 0x19 , 0x02 , 03 59 02 08 AA AA AA AA ,    , Physical , Hex , 0x01 ,    ,   
PC_ID-028 , Start Programming  session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-219 , Read DTC with Programming session(19 02) , 0x19 , 0x02 , 06 59 01 08 00 00 00 AA ,    , Physical , Hex , 0x08 ,    ,   
PC_ID-028 , Start Programming  session , 0x10 , 0x02 , 06 50 02 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-027 , Start default session , 0x10 , 0x01 , 06 50 01 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-218 , Softreset(11 03) , 0x11 , 0x03 , 02 51 03 AA AA AA AA AA ,    , Physical , Hex ,    ,    ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-217 , DisableRxAndDisableTx Extended session(28 03) , 0x28 , 0x03 , 02 68 03 AA AA AA AA AA ,    , Functional , Hex ,    , 0x03 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-216 , DisableRxAndDisableTx Extended session(28 03) , 0x28 , 0x03 , 02 68 03 AA AA AA AA AA ,    , Functional , Hex ,    , 0x02 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-215 , DisableRxAndEnableTx Extended session(28 02) , 0x28 , 0x02 , 02 68 02 AA AA AA AA AA ,    , Functional , Hex ,    , 0x03 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-214 , DisableRxAndEnableTx Extended session(28 02) , 0x28 , 0x02 , 02 68 02 AA AA AA AA AA ,    , Functional , Hex ,    , 0x02 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-213 , EnableRxAndDisableTx Extended session(28 01) , 0x28 , 0x01 , 02 68 01 AA AA AA AA AA ,    , Functional , Hex ,    , 0x03 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-212 , EnableRxAndDisableTx Extended session(28 01) , 0x28 , 0x01 , 02 68 01 AA AA AA AA AA ,    , Functional , Hex ,    , 0x02 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-211 , Disable Rx and Tx(28 00 ) , 0x28 , 0x00 , 02 68 00 AA AA AA AA AA ,    , Functional , Hex ,    , 0x03 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
TC_ID-210 , Disable Rx and Tx(28 00 ) , 0x28 , 0x00 , 02 68 00 AA AA AA AA AA ,    , Functional , Hex ,    , 0x02 ,   
PC_ID-026 , Start Extended session , 0x10 , 0x03 , 06 50 03 00 32 01 F4 AA ,    , Physical , Hex ,    ,    ,   
PC_ID-022 , Start Default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-139 , SendKey_Send(invalid session)(Default)(27 12) , 0x27 , 0x12 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-022 , Start Default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-138 , RequestSeed_Request(invalid session)(Default)(27 11) , 0x27 , 0x11 , 0x7F ,    , Physical , Hex ,    ,    ,   
PC_ID-022 , Start Default session , 0x10 , 0x01 , 0x50 ,    , Physical , Hex ,    ,    ,   
PC_ID-021 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
TC_ID-137 , Incorrect message length(No sub function)(2F) , 0x2F ,    , 0x13 ,    , Physical , Hex ,    ,    ,   
PC_ID-021 , Start Extended session , 0x10 , 0x03 , 0x50 ,    , Physical , Hex ,    ,    ,   
