date Tue May 26 16:01:26.963 2026
base hex  timestamps absolute
internal events logged
Begin Triggerblock Tue May 26 16:01:27.76 2026
 0.000000 Start of measurement
 0.000000 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.015348 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 10 78 AA AA AA AA        0    0     3000        0        0        0        0        0
 0.145365 1  ErrorFrame
 0.145559 1  ErrorFrame
 0.145672 1  ErrorFrame
 0.145822 1  ErrorFrame
 0.146008 1  ErrorFrame
 0.146251 1  ErrorFrame
 0.146384 1  ErrorFrame
 0.146549 1  ErrorFrame
 0.146725 1  ErrorFrame
 0.146895 1  ErrorFrame
 0.147068 1  ErrorFrame
 0.147278 1  ErrorFrame
 0.147299 1  ErrorFrame
 0.147433 1  ErrorFrame
 0.147604 1  ErrorFrame
 0.147782 1  ErrorFrame
 0.147984 1  ErrorFrame
 0.147995 1  ErrorFrame
 0.148148 1  ErrorFrame
 0.148349 1  ErrorFrame
 0.148550 1  ErrorFrame
 0.148728 1  ErrorFrame
 0.148929 1  ErrorFrame
 0.149121 1  ErrorFrame
 0.149312 1  ErrorFrame
 0.149505 1  ErrorFrame
 0.149708 1  ErrorFrame
 0.149894 1  ErrorFrame
 0.150091 1  ErrorFrame
 0.150305 1  ErrorFrame
 0.150476 1  ErrorFrame
 0.150670 1  ErrorFrame
 0.150876 1  ErrorFrame
 0.151054 1  ErrorFrame
 0.151267 1  ErrorFrame
 0.151492 1  ErrorFrame
 0.151633 1  ErrorFrame
 0.151850 1  ErrorFrame
 0.152033 1  ErrorFrame
 0.152225 1  ErrorFrame
 0.152411 1  ErrorFrame
 0.152600 1  ErrorFrame
 0.152799 1  ErrorFrame
 0.153040 1  ErrorFrame
 0.153227 1  ErrorFrame
 0.153427 1  ErrorFrame
 0.153618 1  ErrorFrame
 0.153805 1  ErrorFrame
 0.153997 1  ErrorFrame
 0.154218 1  ErrorFrame
 0.154397 1  ErrorFrame
 0.154582 1  ErrorFrame
 0.154759 1  ErrorFrame
 0.154963 1  ErrorFrame
 0.155162 1  ErrorFrame
 0.155341 1  ErrorFrame
 0.155525 1  ErrorFrame
 0.155715 1  ErrorFrame
 0.155905 1  ErrorFrame
 0.156122 1  ErrorFrame
 0.156338 1  ErrorFrame
 0.156556 1  ErrorFrame
 0.156723 1  ErrorFrame
 0.156883 1  ErrorFrame
 0.157087 1  ErrorFrame
 0.157269 1  ErrorFrame
 0.157473 1  ErrorFrame
 0.157661 1  ErrorFrame
 0.157818 1  ErrorFrame
 0.158002 1  ErrorFrame
 0.158267 1  ErrorFrame
 0.158402 1  ErrorFrame
 0.158575 1  ErrorFrame
 0.158774 1  ErrorFrame
 0.158971 1  ErrorFrame
 0.159167 1  ErrorFrame
 0.159345 1  ErrorFrame
 0.159533 1  ErrorFrame
 0.159745 1  ErrorFrame
 0.159936 1  ErrorFrame
 0.160131 1  ErrorFrame
 0.160321 1  ErrorFrame
 0.160508 1  ErrorFrame
 0.160709 1  ErrorFrame
 0.160900 1  ErrorFrame
 0.161080 1  ErrorFrame
 0.161300 1  ErrorFrame
 0.161473 1  ErrorFrame
 0.161666 1  ErrorFrame
 0.162029 1  ErrorFrame
 0.162308 1  ErrorFrame
 0.162430 1  ErrorFrame
 0.162624 1  ErrorFrame
 0.162851 1  ErrorFrame
 0.163032 1  ErrorFrame
 0.163215 1  ErrorFrame
 0.163411 1  ErrorFrame
 0.163595 1  ErrorFrame
 0.163790 1  ErrorFrame
 0.163981 1  ErrorFrame
 0.164177 1  ErrorFrame
 0.164432 CANFD   1 Tx        716                                   1 0 8  8 02 10 D1 00 00 00 00 00        0    0     3000        0        0        0        0        0
 0.164444 1  ErrorFrame
 0.171652 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 10 12 AA AA AA AA        0    0     3000        0        0        0        0        0
 2.352712 CANFD   1 Tx        716                                   1 0 8  8 02 10 01 00 00 00 00 00        0    0     3000        0        0        0        0        0
 2.352962 CANFD   1 Rx        71E                                   1 0 8  8 06 50 01 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 2.483669 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 2.503915 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 10 78 AA AA AA AA        0    0     3000        0        0        0        0        0
 2.632967 1  ErrorFrame
 2.633063 1  ErrorFrame
 2.633076 1  ErrorFrame
 2.633086 1  ErrorFrame
 2.633297 1  ErrorFrame
 2.633322 1  ErrorFrame
 2.633522 1  ErrorFrame
 2.633729 1  ErrorFrame
 2.633968 1  ErrorFrame
 2.634325 1  ErrorFrame
 2.634338 1  ErrorFrame
 2.634543 1  ErrorFrame
 2.634725 1  ErrorFrame
 2.634927 1  ErrorFrame
 2.635117 1  ErrorFrame
 2.635311 1  ErrorFrame
 2.635514 1  ErrorFrame
 2.635707 1  ErrorFrame
 2.635915 1  ErrorFrame
 2.636111 1  ErrorFrame
 2.636305 1  ErrorFrame
 2.636502 1  ErrorFrame
 2.636691 1  ErrorFrame
 2.636850 1  ErrorFrame
 2.637041 1  ErrorFrame
 2.637243 1  ErrorFrame
 2.637433 1  ErrorFrame
 2.637626 1  ErrorFrame
 2.637830 1  ErrorFrame
 2.638056 1  ErrorFrame
 2.638300 1  ErrorFrame
 2.638453 1  ErrorFrame
 2.638653 1  ErrorFrame
 2.638809 1  ErrorFrame
 2.639011 1  ErrorFrame
 2.639202 1  ErrorFrame
 2.639396 1  ErrorFrame
 2.639589 1  ErrorFrame
 2.639788 1  ErrorFrame
 2.639977 1  ErrorFrame
 2.640172 1  ErrorFrame
 2.640373 1  ErrorFrame
 2.640567 1  ErrorFrame
 2.640758 1  ErrorFrame
 2.640971 1  ErrorFrame
 2.641306 1  ErrorFrame
 2.641542 1  ErrorFrame
 2.641738 1  ErrorFrame
 2.641953 1  ErrorFrame
 2.642182 1  ErrorFrame
 2.642347 1  ErrorFrame
 2.642530 1  ErrorFrame
 2.642723 1  ErrorFrame
 2.642927 1  ErrorFrame
 2.643132 1  ErrorFrame
 2.643315 1  ErrorFrame
 2.643515 1  ErrorFrame
 2.643715 1  ErrorFrame
 2.643912 1  ErrorFrame
 2.644108 1  ErrorFrame
 2.644317 1  ErrorFrame
 2.644497 1  ErrorFrame
 2.644704 1  ErrorFrame
 2.644888 1  ErrorFrame
 2.645081 1  ErrorFrame
 2.645278 1  ErrorFrame
 2.645483 1  ErrorFrame
 2.645671 1  ErrorFrame
 2.645882 1  ErrorFrame
 2.646057 1  ErrorFrame
 2.646486 1  ErrorFrame
 2.646500 1  ErrorFrame
 2.646657 1  ErrorFrame
 2.646860 1  ErrorFrame
 2.647043 1  ErrorFrame
 2.647246 1  ErrorFrame
 2.647449 1  ErrorFrame
 2.647653 1  ErrorFrame
 2.647827 1  ErrorFrame
 2.648030 1  ErrorFrame
 2.648231 1  ErrorFrame
 2.648417 1  ErrorFrame
 2.648626 1  ErrorFrame
 2.648818 1  ErrorFrame
 2.649007 1  ErrorFrame
 2.649213 1  ErrorFrame
 2.649394 1  ErrorFrame
 2.649589 1  ErrorFrame
 2.649798 1  ErrorFrame
 2.649983 1  ErrorFrame
 2.650248 1  ErrorFrame
 2.650374 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 2.657724 CANFD   1 Rx        71E                                   1 0 8  8 06 50 02 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 4.620133 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 4.620505 CANFD   1 Rx        71E                                   1 0 8  8 06 50 02 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 4.754468 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 4.754773 CANFD   1 Rx        71E                                   1 0 8  8 06 50 02 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 4.884961 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 4.885284 CANFD   1 Rx        71E                                   1 0 8  8 06 50 02 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 5.027913 CANFD   1 Tx        716                                   1 0 8  8 02 10 02 00 00 00 00 00        0    0     3000        0        0        0        0        0
 5.028283 CANFD   1 Rx        71E                                   1 0 8  8 06 50 02 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 5.169269 CANFD   1 Tx        716                                   1 0 8  8 02 11 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 5.169304 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 11 12 AA AA AA AA        0    0     3000        0        0        0        0        0
 5.169334 1  ErrorFrame
 5.222332 CANFD   1 Tx        716                                   1 0 8  8 04 14 80 00 FF 00 00 00        0    0     3000        0        0        0        0        0
 5.222677 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 14 11 AA AA AA AA        0    0     3000        0        0        0        0        0
 5.297016 CANFD   1 Tx        716                                   1 0 8  8 04 14 FF FF FF 00 00 00        0    0     3000        0        0        0        0        0
 5.297299 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 14 11 AA AA AA AA        0    0     3000        0        0        0        0        0
 5.380329 CANFD   1 Tx        716                                   1 0 8  8 03 19 02 FF 00 00 00 00        0    0     3000        0        0        0        0        0
 5.380685 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 19 11 AA AA AA AA        0    0     3000        0        0        0        0        0
 5.453966 CANFD   1 Tx        716                                   1 0 8  8 03 19 02 FF 00 00 00 00        0    0     3000        0        0        0        0        0
 5.454437 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 19 11 AA AA AA AA        0    0     3000        0        0        0        0        0
 5.582721 CANFD   1 Tx        716                                   1 0 8  8 02 10 01 00 00 00 00 00        0    0     3000        0        0        0        0        0
 5.582998 CANFD   1 Rx        71E                                   1 0 8  8 06 50 01 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 5.712527 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 5.734089 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 5.862869 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 5.884994 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.005021 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.024093 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.150484 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.164084 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.293811 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.314512 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.440762 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.454100 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.582679 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.604422 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.728858 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.744385 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 6.871584 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 6.894462 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 7.017101 CANFD   1 Tx        716                                   1 0 8  8 02 10 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 7.034353 CANFD   1 Rx        71E                                   1 0 8  8 06 50 03 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
 7.160670 CANFD   1 Tx        716                                   1 0 8  8 02 11 03 00 00 00 00 00        0    0     3000        0        0        0        0        0
 7.164084 CANFD   1 Rx        71E                                   1 0 8  8 03 7F 11 12 AA AA AA AA        0    0     3000        0        0        0        0        0
 7.264839 CANFD   1 Tx        7DF                                   1 0 8  8 30 08 0A 00 00 00 00 00        0    0     3000        0        0        0        0        0
 7.285353 CANFD   1 Tx        7DF                                   1 0 8  8 30 08 0A 00 00 00 00 00        0    0     3000        0        0        0        0        0
 7.301718 CANFD   1 Tx        7DF                                   1 0 8  8 30 08 0A 00 00 00 00 00        0    0     3000        0        0        0        0        0
 7.309258 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 03 03 00 00 00 00        0    0     3000        0        0        0        0        0
 7.324570 CANFD   1 Rx        71E                                   1 0 8  8 02 68 03 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 7.355308 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 03 03 00 00 00 00        0    0     3000        0        0        0        0        0
 7.374055 CANFD   1 Rx        71E                                   1 0 8  8 02 68 03 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 9.266060 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 02 02 00 00 00 00        0    0     3000        0        0        0        0        0
 9.284041 CANFD   1 Rx        71E                                   1 0 8  8 02 68 02 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 11.185637 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 02 02 00 00 00 00        0    0     3000        0        0        0        0        0
 11.204117 CANFD   1 Rx        71E                                   1 0 8  8 02 68 02 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 11.332049 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 01 01 00 00 00 00        0    0     3000        0        0        0        0        0
 11.354119 CANFD   1 Rx        71E                                   1 0 8  8 02 68 01 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 11.482227 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 01 01 00 00 00 00        0    0     3000        0        0        0        0        0
 11.504163 CANFD   1 Rx        71E                                   1 0 8  8 02 68 01 AA AA AA AA AA        0    0     3000        0        0        0        0        0
 11.633593 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 00 00 00 00 00 00        0    0     3000        0        0        0        0        0
 13.745849 CANFD   1 Tx        7DF                                   1 0 8  8 03 28 00 00 00 00 00 00        0    0     3000        0        0        0        0        0
 15.935118 CANFD   1 Tx        716                                   1 0 8  8 02 10 01 00 00 00 00 00        0    0     3000        0        0        0        0        0
 15.954264 CANFD   1 Rx        71E                                   1 0 8  8 06 50 01 00 32 01 F4 AA        0    0     3000        0        0        0        0        0
